date,gdp,budget,,,,,,
1947-01-01,0,1.60784,,,,,,
1948-01-01,9.9,4.29258,,,,,,
1949-01-01,-0.7,0.21261,,,,,,
1950-01-01,10.0,-1.03897,,,,,,
1951-01-01,15.7,1.75698,,,,,,
1952-01-01,5.9,-0.41311,,,,,,
1953-01-01,6.0,-1.66615,,,,,,
1954-01-01,0.3,-0.29507,,,,,,
1955-01-01,9.0,-0.70225,,,,,,
1956-01-01,5.6,0.87692,,,,,,
1957-01-01,5.5,0.71847,,,,,,
1958-01-01,1.5,-0.57448,,,,,,
1959-01-01,8.4,-2.45914,,,,,,
1960-01-01,4.0,0.0554,,,,,,
1961-01-01,3.7,-0.59205,,,,,,
1962-01-01,7.4,-1.18096,,,,,,
1963-01-01,5.5,-0.74475,,,,,,
1964-01-01,7.4,-0.8625,,,,,,
1965-01-01,8.4,-0.18973,,,,,,
1966-01-01,9.6,-0.45374,,,,,,
1967-01-01,5.7,-1.00302,,,,,,
1968-01-01,9.4,-2.6696,,,,,,
1969-01-01,8.2,0.31787,,,,,,
1970-01-01,5.5,-0.26415,,,,,,
1971-01-01,8.5,-1.97234,,,,,,
1972-01-01,9.8,-1.8226,,,,,,
1973-01-01,11.4,-1.04361,,,,,,
1974-01-01,8.4,-0.39611,,,,,,
1975-01-01,9.0,-3.15247,,,,,,
1976-01-01,11.2,-3.92693,,,,,,
1977-01-01,11.1,-2.57234,,,,,,
1978-01-01,13.0,-2.51146,,,,,,
1979-01-01,11.7,-1.54728,,,,,,
1980-01-01,8.7,-2.57921,,,,,,
1981-01-01,12.2,-2.4593,,,,,,
1982-01-01,4.2,-3.82592,,,,,,
1983-01-01,8.8,-5.71183,,,,,,
1984-01-01,11.1,-4.5875,,,,,,
1985-01-01,7.6,-4.88435,,,,,,
1986-01-01,5.6,-4.81955,,,,,,
1987-01-01,6.1,-3.07441,,,,,,
1988-01-01,7.9,-2.95431,,,,,,
1989-01-01,7.7,-2.6979,,,,,,
1990-01-01,5.7,-3.6965,,,,,,
1991-01-01,3.3,-4.36084,,,,,,
1992-01-01,5.9,-4.43963,,,,,,
1993-01-01,5.2,-3.70784,,,,,,
1994-01-01,6.3,-2.78002,,,,,,
1995-01-01,4.9,-2.13922,,,,,,
1996-01-01,5.7,-1.32628,,,,,,
1997-01-01,6.3,-0.25421,,,,,,
1998-01-01,5.6,0.76211,,,,,,
1999-01-01,6.3,1.30023,,,,,,
2000-01-01,6.5,2.29699,,,,,,
2001-01-01,3.3,1.20729,,,,,,
2002-01-01,3.3,-1.4371,,,,,,
2003-01-01,4.9,-3.2803,,,,,,
2004-01-01,6.6,-3.36237,,,,,,
2005-01-01,6.7,-2.43129,,,,,,
2006-01-01,5.8,-1.79116,,,,,,
2007-01-01,4.5,-1.11,,,,,,
2008-01-01,1.7,-3.11547,,,,,,
2009-01-01,-2.0,-9.79761,,,,,,
2010-01-01,3.8,-8.64968,,,,,,
2011-01-01,3.7,-8.37478,,,,,,
2012-01-01,4.1,-6.72821,,,,,,
2013-01-01,3.1,-4.07811,,,,,,
2014-01-01,4.1,-2.79355,,,,,,
2015-01-01,3.5,-2.44278,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
